"","X","ID","duration","gender","age","ager","plz","state","urban","edu","res","s5_5t","att_organic","att_glypho","att_pest","att_smallfarm","att_tech","att_fert","awareness","knowledge","imp_aesth","imp_food","imp_water","imp_recr","imp_flood","imp_drought","imp_climate","imp_soc_climate","imp_soc_food","imp_soc_water","imp_soc_flood","imp_soc_drought","imp_per_climate","imp_per_food","imp_per_water","imp_per_flood","imp_per_drought","exp_flood","exp_drought","resp_pol","resp_con","resp_ret","resp_prod","motive_1","motive_2","motive_3","motive_4","motive_5","motive_6","motive_7","motive_8","motive_9","motive_10","motive_11","motive_12","motive_13","motive_14","motive_15","motive_16","motive_17","motive_18","INS","ICS","member","donation","farmer","livestock","no_ag","empl","income","marital","hh_size","childr","sd7","sys_RespNum","sys_ElapsedTime","q1","q2","q3","q4","q5","q6","q7","q8","q9","BLOCK","sys_pagetime_Random1","sys_pagetime_Random2","sys_pagetime_Random3","sys_pagetime_Random4","sys_pagetime_Fixed1","sys_pagetime_Random5","sys_pagetime_Random6","sys_pagetime_Random7","sys_pagetime_Random8"
"196",196,196,970,0,41,4,"82256","ba",1,"realschule","own_flat"," ",5,5,4,5,4,5,4,2,5,4,4,5,4,4,4,5,4,5,4,4,4,4,5,5,5,0,0,5,4,4,4,4,5,4,4,4,4,4,4,5,4,5,4,4,4,5,5,5,4,4,2,1,0,0,0,1,"fulltime","2500_3500","married",2,1,NA,141,343,2,1,2,2,1,3,2,2,3,21,22,13,30,19,11,64,3,4,8
"197",197,197,859,0,68,6,"13465","be",1,"realschule","rented_flat"," ",2,5,5,5,4,1,3,2,4,4,5,5,3,3,4,3,5,5,3,2,3,5,5,1,1,0,0,5,5,1,5,3,1,4,5,5,1,5,1,4,1,3,2,1,1,3,5,3,1,7,1,0,0,0,0,1,"retired","3500_5000","married",2,1,NA,591,185,2,1,2,2,1,2,2,2,2,21,47,16,19,14,17,24,12,11,12
"198",198,198,483,1,42,4,"76131","bw",1,"abitur","own_house"," ",5,5,5,3,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,1,"fulltime","3500_5000","married",3,2,NA,969,99,2,2,1,2,1,1,2,1,2,9,17,9,11,11,9,5,6,6,5
"199",199,199,569,0,68,6,"30627","ni",1,"realschule","own_house"," ",3,5,5,3,4,4,3,3,4,4,4,3,4,4,4,5,4,5,4,4,4,3,4,3,3,0,0,4,3,3,3,4,3,3,4,3,3,2,4,3,4,3,3,0,1,5,1,5,5,3,6,0,0,0,0,1,"retired","2500_3500","married",2,1,NA,189,136,3,2,2,2,1,3,3,3,2,9,22,15,11,9,13,6,8,13,7
"200",200,200,664,1,46,4,"37574","ni",0,"abitur","own_house"," ",4,4,5,2,4,5,4,3,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,0,0,5,5,3,4,2,3,2,3,4,3,3,3,3,3,4,4,2,2,5,2,5,5,6,4,1,1,0,0,1,"fulltime","3500_5000","partnership",2,1,NA,1413,156,1,1,1,2,2,1,1,1,2,3,19,19,9,25,13,26,9,11,8
"201",201,201,773,0,46,4,"97491","ba",1,"hauptschule","own_house"," ",3,1,2,5,4,2,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,4,4,3,4,0,3,1,3,3,3,2,3,4,4,0,2,2,3,3,2,3,3,3,4,4,2,4,3,3,4,0,0,0,0,1,"fulltime","2500_3500","married",4,3,NA,1138,197,2,1,2,2,3,2,3,2,2,28,40,25,27,14,13,4,12,22,7
"202",202,202,306,1,26,2,"63834","ba",1,"realschule","rented_flat"," ",5,5,5,5,5,4,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,5,4,5,4,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,4,6,2,0,1,0,0,1,"fulltime","2000_2500","single",1,NA,NA,968,99,1,2,1,1,1,1,2,2,1,8,9,16,5,4,14,6,13,10,4
"203",203,203,2992,1,48,4,"77880","bw",1,"realschule","rented_flat"," ",3,4,4,4,3,4,3,2,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,0,0,5,4,4,4,4,3,3,5,3,5,3,4,4,0,4,4,3,4,4,3,5,3,4,3,0,0,0,0,1,"parttime","1500_2000","divorced_widowed",2,1,NA,511,2347,1,2,1,1,1,1,1,1,1,1,235,95,26,17,144,13,18,15,1750
"204",204,204,1236,1,49,4,"08468","sn",1,"university","own_house"," ",4,3,5,4,3,4,3,2,5,5,5,5,5,4,4,4,5,5,5,5,3,5,5,4,4,0,0,4,3,3,4,3,3,4,3,3,1,2,3,3,2,3,2,1,3,3,4,0,4,5,3,0,0,0,0,1,"fulltime","5000_above","married",4,1,NA,1323,134,1,1,1,2,1,1,1,1,1,3,43,21,14,10,6,5,5,8,6
"205",205,205,633,1,60,6,"51467","nw",1,"fachabitur","own_house"," ",3,5,4,4,3,3,2,2,5,4,5,5,5,3,3,4,5,5,5,5,4,5,5,5,5,3,0,3,4,3,4,3,3,2,4,3,3,3,3,2,2,2,3,2,1,3,4,0,5,3,6,0,0,0,1,0,"fulltime","2000_2500","married",2,1,NA,1305,188,2,2,1,1,1,1,1,2,1,15,35,35,16,13,12,19,16,14,11
"206",206,206,2199,1,26,2,"21683","ni",1,"realschule","own_house"," ",5,4,4,5,5,5,5,3,3,5,5,2,5,5,5,5,5,5,5,5,4,4,5,4,5,1,2,4,4,4,5,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,4,3,3,2,4,1,1,1,0,0,"fulltime","2000_2500","married",2,2,NA,404,1640,1,1,2,1,1,2,2,2,1,14,105,1443,15,15,6,13,10,9,11
"207",207,207,507,1,41,4,"39576","st",0,"abitur","rented_house"," ",4,5,4,5,5,5,2,1,3,3,5,3,5,5,4,5,4,5,5,5,5,5,5,5,5,1,3,1,2,5,3,1,1,3,4,0,1,5,5,5,1,4,4,5,3,5,1,5,5,5,3,0,0,0,0,1,"fulltime","1000_1500","single",1,NA,NA,3,156,1,1,1,1,1,1,1,2,1,3,11,6,7,7,4,6,23,18,3
"208",208,208,716,2,55,5,"99096","th",1,"polyt_oberschule","own_house"," ",4,3,4,5,3,1,3,3,5,4,5,4,3,4,3,4,3,5,4,4,4,3,4,4,3,1,2,4,3,5,5,3,3,4,3,4,4,3,4,4,2,4,2,2,3,4,3,2,3,5,6,0,0,0,0,1,"fulltime","5000_above","married",2,1,NA,606,178,3,3,2,2,2,2,2,1,2,6,46,11,32,15,12,14,9,11,9
"209",209,209,704,1,20,2,"81737","ba",1,"abitur","own_house"," ",5,4,4,5,4,4,1,1,3,4,5,1,5,5,5,5,4,5,5,3,0,0,0,0,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,"student","3500_5000","single",3,1,NA,13,177,1,2,1,2,2,2,2,1,2,13,37,8,8,7,17,28,29,5,7
"210",210,210,875,1,40,4,"01662","sn",1,"realschule","rented_flat"," ",4,5,4,4,3,4,3,3,4,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,2,0,5,3,3,4,3,4,4,3,3,3,4,5,5,3,4,3,4,4,4,3,4,5,7,6,0,0,0,0,1,"parttime","1000_1500","married",3,2,NA,623,379,2,1,1,2,1,1,1,2,2,23,51,56,42,17,21,15,28,67,56
"211",211,211,582,1,45,4,"97264","ba",1,"university","own_house"," ",2,0,2,5,3,4,1,2,2,5,5,4,2,3,4,4,5,5,4,3,4,4,4,4,2,0,0,4,2,4,2,1,1,0,2,4,0,2,4,4,2,2,2,3,2,5,4,4,3,3,5,0,0,0,0,1,"housewife_man","3500_5000","married",3,2,NA,467,125,2,1,1,2,1,1,1,1,1,17,25,12,10,13,8,5,10,9,7
"212",212,212,983,0,61,6,"86316","ba",1,"fachabitur","rented_house"," ",5,5,5,5,4,5,5,3,4,5,5,3,5,5,5,5,4,5,5,5,5,4,5,5,5,0,1,5,5,5,5,3,2,3,5,3,5,3,5,5,3,3,4,5,2,5,2,5,5,6,5,1,1,0,0,1,"housewife_man","2500_3500","married",2,1,NA,1479,340,2,1,1,2,1,1,2,1,2,9,98,24,27,16,24,29,15,27,15
"213",213,213,1046,0,44,4,"73249","bw",1,"realschule","rented_flat"," ",5,5,5,5,4,5,4,3,5,5,5,4,4,4,3,4,4,4,3,3,4,5,5,4,4,1,0,2,5,4,4,1,4,3,3,5,3,4,3,4,2,3,3,2,2,5,2,2,3,7,4,0,0,0,0,1,"parttime","1000_1500","single",1,NA,NA,1029,243,1,2,2,1,1,1,3,3,3,9,27,20,15,18,17,15,31,12,11
"214",214,214,515,0,54,5,"52477","nw",1,"hauptschule","rented_flat"," ",0,5,5,5,0,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,4,4,5,4,3,3,3,3,3,3,5,3,5,3,3,3,5,3,5,5,5,3,1,1,0,0,0,0,1,"retired","below_1000","divorced_widowed",1,NA,NA,311,120,2,1,1,2,1,1,1,1,1,11,42,12,7,6,6,7,7,7,11
"215",215,215,624,0,28,2,"35510","he",1,"realschule","own_flat"," ",4,5,5,5,4,4,3,2,3,4,5,5,4,4,2,5,3,4,4,4,2,4,5,4,4,0,0,1,2,1,4,3,3,5,1,5,2,1,3,1,3,2,4,2,1,4,2,5,5,6,1,0,0,0,1,0,"fulltime","5000_above","married",4,3,NA,509,159,2,2,1,1,1,2,1,1,1,29,31,19,18,12,10,8,15,14,9
"216",216,216,654,1,34,3,"68799","bw",1,"realschule","rented_flat"," ",5,5,5,5,4,5,2,2,4,3,5,5,4,4,4,5,5,5,4,4,4,4,5,3,3,3,3,5,3,4,5,2,3,4,5,4,3,3,4,4,2,4,4,2,2,5,2,5,5,5,2,0,0,0,0,1,"parttime","3500_5000","married",3,2,NA,351,241,2,1,2,2,1,2,2,2,2,21,46,46,34,15,17,22,19,13,10
"217",217,217,696,0,63,6,"59192","nw",1,"realschule","own_house"," ",5,5,5,5,4,5,5,4,3,3,5,4,5,5,5,5,3,5,5,5,5,3,5,5,5,1,3,4,4,4,5,3,3,3,4,3,2,4,4,4,2,4,5,4,2,4,3,4,5,7,4,0,1,0,0,1,"retired","3500_5000","married",2,1,NA,602,167,1,2,1,1,2,2,2,1,2,2,30,34,22,13,9,10,7,10,9
"218",218,218,1347,1,66,6,"39619","st",1,"polyt_oberschule","rented_flat"," ",4,5,5,5,4,3,4,3,4,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,0,0,4,5,5,4,1,1,3,1,3,1,4,5,5,1,3,3,4,1,5,3,5,5,7,4,0,1,0,0,1,"retired","below_1000","single",1,NA,NA,639,276,2,2,1,1,1,2,2,1,2,9,50,46,31,21,31,16,17,14,14
"219",219,219,647,1,63,6,"66352","sl",1,"realschule","own_flat"," ",4,5,5,5,3,5,1,2,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,1,2,0,0,5,2,5,5,2,4,3,2,2,5,4,3,4,4,4,4,2,1,5,2,3,4,5,1,0,0,0,0,1,"parttime","3500_5000","divorced_widowed",2,1,NA,1023,167,3,1,1,2,1,1,1,1,1,3,24,21,25,20,12,12,9,14,9
"220",220,220,761,0,40,4,"65385","he",0,"hauptschule","rented_flat"," ",4,4,4,5,4,2,5,4,4,4,5,5,4,4,4,5,4,5,4,4,5,4,5,4,4,3,3,4,3,4,4,2,3,4,5,3,0,3,4,3,3,3,2,1,1,5,3,3,4,6,2,0,1,0,1,0,"fulltime","1000_1500","partnership",3,2,NA,677,265,1,1,3,2,1,1,1,3,2,17,60,26,16,25,33,17,24,21,22
"221",221,221,1252,1,40,4,"78050","bw",1,"university","own_house"," ",4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,3,4,4,4,3,4,3,4,3,4,0,3,5,3,2,5,2,3,5,2,4,3,2,4,3,2,5,4,3,2,4,2,4,5,5,3,1,1,0,0,1,"parttime","3500_5000","married",3,2,NA,1372,268,1,2,1,2,2,1,2,1,1,22,40,51,31,30,10,18,14,18,25
"222",222,222,700,0,62,6,"86391","ba",1,"realschule","own_house"," ",3,5,4,3,5,4,3,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,3,5,5,5,5,4,3,3,3,3,2,4,4,4,4,3,3,4,2,3,3,4,5,5,4,0,0,0,0,1,"retired","5000_above","married",2,1,NA,59,146,3,1,1,1,1,1,1,1,3,29,62,19,6,5,12,4,6,11,11
"223",223,223,1052,1,46,4,"01159","sn",1,"hauptschule","rented_flat"," ",4,5,5,4,4,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,0,4,5,5,3,1,2,1,0,5,3,4,4,4,2,4,4,4,2,5,2,5,5,6,2,0,1,1,1,0,"fulltime","2500_3500","married",4,3,NA,961,359,2,1,1,1,2,1,2,1,2,1,95,33,24,27,24,24,35,17,22
"224",224,224,934,1,52,5,"85604","ba",1,"realschule","own_house"," ",3,4,4,3,4,4,3,2,3,4,5,4,3,5,4,5,3,5,5,5,4,3,5,4,5,0,0,3,3,3,2,3,2,3,2,3,3,4,4,3,3,3,3,2,2,3,3,3,4,6,4,0,0,0,0,1,"housewife_man","2500_3500","married",4,2,NA,69,339,2,2,1,1,1,1,2,1,2,9,50,42,31,23,18,18,19,18,15
"225",225,225,2205,0,52,5,"12099","be",1,"hauptschule","rented_flat"," ",5,5,5,5,4,5,1,1,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,0,0,5,3,4,4,1,4,3,4,3,4,1,2,3,2,1,2,1,1,4,4,3,4,5,4,0,0,0,0,1,"retired","below_1000","single",1,NA,NA,964,1089,1,1,1,1,1,2,2,2,2,4,318,117,33,27,4,10,8,11,8
"226",226,226,1358,1,52,5,"26160","ni",0,"fachabitur","rented_house"," ",4,5,5,5,4,4,3,3,4,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,4,0,0,3,4,4,3,1,3,2,1,4,2,5,5,5,2,4,4,3,5,5,5,2,5,6,4,0,0,0,0,1,"fulltime","2500_3500","married",2,1,NA,21,1013,2,1,1,2,1,2,2,1,1,21,20,15,11,8,243,11,7,664,6
"227",227,227,555,0,36,3,"92318","ba",1,"realschule","rented_flat"," ",5,5,5,5,0,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,0,0,5,4,4,5,5,3,5,0,5,3,0,3,5,1,0,0,0,4,5,5,0,5,3,2,0,0,0,0,1,"fulltime","2500_3500","partnership",4,3,NA,152,144,1,1,2,1,1,1,1,2,1,2,43,22,10,3,4,17,7,15,7
"228",228,228,608,1,34,3,"86157","ba",1,"realschule","rented_house"," ",1,5,4,5,5,5,3,2,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,1,0,0,1,1,0,"unemployed","below_1000","partnership",2,1,NA,78,160,2,1,2,2,1,1,1,2,1,18,29,25,9,26,13,14,10,11,10
"229",229,229,1781,0,62,6,"95615","ba",1,"realschule","rented_flat"," ",2,5,4,4,2,3,3,2,3,5,5,4,5,5,5,4,5,5,5,5,4,4,4,3,4,0,0,3,5,5,3,2,3,2,3,3,4,4,3,3,2,3,3,3,1,4,4,5,4,5,6,0,0,0,0,1,"fulltime","3500_5000","married",2,1,NA,130,1254,1,2,2,3,1,1,2,2,2,10,54,16,15,17,17,25,12,1051,30
"230",230,230,620,1,40,4,"77876","bw",1,"abitur","rented_flat"," ",4,4,5,5,5,5,5,4,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,4,5,4,5,1,2,3,3,5,4,4,5,4,1,4,5,3,3,4,3,5,5,7,5,1,1,0,0,1,"fulltime","2000_2500","married",2,1,NA,283,150,2,2,2,1,2,1,2,1,2,13,20,16,16,13,9,23,14,13,11
"231",231,231,582,1,57,5,"65824","he",1,"realschule","rented_flat"," ",5,5,5,5,5,4,4,3,4,4,5,4,5,5,5,4,4,5,5,5,4,3,5,5,5,0,3,5,5,5,4,3,5,4,4,4,3,4,5,4,3,5,5,3,3,5,4,5,5,7,1,0,0,0,0,1,"housewife_man","1500_2000","married",3,1,NA,430,102,1,2,2,1,1,1,2,2,3,10,26,12,7,8,5,5,7,10,8
"232",232,232,587,0,53,5,"47906","nw",1,"university","own_house"," ",2,1,3,4,5,3,3,3,4,5,4,3,4,2,3,4,5,5,4,4,4,5,5,3,3,0,3,4,3,4,2,2,2,1,1,4,1,3,4,3,2,3,3,4,4,3,3,3,2,5,5,0,0,1,0,0,"fulltime","5000_above","married",5,3,NA,1448,166,2,1,1,2,1,1,2,1,2,8,34,17,12,8,13,24,19,13,10
"233",233,233,427,1,33,3,"85560","ba",1,"realschule","rented_flat"," ",5,4,5,4,4,5,2,1,5,5,4,5,5,4,4,3,4,4,4,4,5,4,5,5,4,1,0,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4,5,4,4,4,2,0,0,1,1,0,"fulltime","2000_2500","partnership",2,1,NA,134,28,2,1,2,2,1,1,1,3,1,14,3,1,3,2,2,3,2,3,3
"234",234,234,752,0,60,6,"45701","nw",1,"realschule","rented_flat"," ",3,5,5,3,3,5,3,2,3,4,4,5,4,4,4,5,5,5,5,5,4,4,4,4,4,0,0,5,4,4,5,3,3,3,0,4,0,0,3,3,3,3,3,3,3,5,2,4,5,4,1,0,0,0,0,1,"unemployed","below_1000","divorced_widowed",1,NA,NA,955,193,1,2,1,3,1,1,1,2,1,25,67,13,5,4,9,10,13,23,10
"235",235,235,683,1,43,4,"53894","nw",0,"realschule","rented_house"," ",5,5,4,5,3,3,3,2,3,4,5,5,5,4,4,5,5,5,5,5,5,4,5,3,5,0,0,5,5,5,5,1,3,3,3,3,3,5,5,4,2,5,5,5,1,5,2,5,5,3,4,0,0,0,0,1,"housewife_man","2500_3500","married",3,2,NA,381,257,2,1,1,2,1,1,2,1,2,21,55,33,34,21,17,34,10,16,22
"236",236,236,319,0,40,4,"95030","ba",1,"realschule","rented_flat"," ",4,5,4,3,3,3,3,3,3,3,4,4,5,3,3,4,3,4,4,4,5,5,4,4,5,2,2,5,4,3,4,4,5,4,3,3,2,4,3,4,4,3,2,3,4,4,5,4,4,6,6,0,0,0,0,1,"fulltime","below_1000","single",1,NA,NA,395,90,1,2,2,1,1,1,2,1,1,5,4,2,2,2,6,3,3,3,3
"237",237,237,629,0,46,4,"39345","st",0,"university","own_house"," ",5,5,4,4,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,3,5,5,5,5,2,3,2,3,3,2,4,4,4,3,4,4,4,3,5,3,5,5,6,5,0,1,0,0,1,"fulltime","3500_5000","single",2,2,NA,1606,145,2,2,2,2,1,1,1,1,1,16,15,16,7,20,9,8,8,9,8
"238",238,238,776,1,44,4,"24944","sh",1,"realschule","rented_flat"," ",4,5,5,5,0,5,4,2,1,3,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,0,3,5,5,5,5,1,1,3,3,3,1,4,5,5,3,5,5,4,1,5,2,4,5,7,4,0,0,0,0,1,"fulltime","2500_3500","married",3,1,NA,685,204,2,1,2,2,1,1,2,2,2,25,64,18,12,9,17,16,19,10,12
"239",239,239,853,1,67,6,"76437","bw",1,"hauptschule","own_flat"," ",4,5,5,4,3,5,4,3,2,4,5,4,4,4,4,4,5,5,4,5,4,5,5,4,5,0,2,5,3,5,3,4,3,4,5,0,5,5,0,5,2,3,4,1,3,5,4,5,5,6,1,0,0,0,0,1,"retired","below_1000","divorced_widowed",1,NA,NA,625,247,2,1,2,1,1,1,2,2,2,25,57,19,19,22,21,18,24,15,27
"240",240,240,925,1,19,2,"41063","nw",1,"abitur","own_house"," ",5,4,4,5,3,4,3,3,4,4,5,4,5,4,5,5,5,5,5,4,5,5,5,5,4,0,3,5,5,5,4,1,2,2,3,3,1,4,5,5,1,4,5,5,5,5,5,5,5,5,3,0,0,0,0,1,"student","1500_2000","single",4,2,NA,492,248,2,2,1,2,2,2,1,2,2,12,41,9,4,5,5,5,8,18,18
"241",241,241,1370,0,21,2,"68753","bw",1,"fachabitur","own_flat"," ",5,5,5,5,4,5,3,2,4,5,5,4,4,5,5,4,5,5,3,5,5,5,5,4,5,2,0,5,4,5,4,2,3,3,2,3,4,5,5,5,2,4,4,5,4,3,2,5,4,2,3,0,0,0,0,1,"fulltime","2500_3500","single",2,1,NA,871,150,2,2,2,1,1,1,1,1,2,1,24,10,6,8,10,6,15,12,32
"242",242,242,1754,1,48,4,"10587","be",1,"hauptschule","rented_flat"," ",5,5,5,4,2,5,3,3,5,5,5,4,2,5,5,5,5,5,5,5,5,3,5,5,5,0,0,5,5,5,5,1,1,1,3,3,2,5,5,4,2,4,4,5,1,4,1,5,5,5,1,0,1,0,0,1,"unemployed","below_1000","divorced_widowed",1,NA,NA,656,642,1,2,2,1,2,2,1,2,2,26,90,120,35,26,56,43,39,97,35
"243",243,243,403,1,31,3,"38104","ni",1,"no_graduation","rented_flat"," ",3,5,4,3,4,5,3,2,3,5,5,5,5,3,5,5,3,3,4,4,5,3,4,4,4,0,0,3,4,5,4,2,2,4,3,3,3,0,1,0,4,5,0,4,2,4,0,0,5,7,6,0,0,0,0,1,"fulltime","1500_2000","single",1,NA,NA,372,123,1,1,2,3,3,2,2,2,2,12,15,25,5,15,9,6,3,6,9
"244",244,244,354,0,62,6,"45468","nw",1,"realschule","rented_flat"," ",3,3,3,3,3,3,2,1,3,4,4,4,3,3,2,3,3,5,4,3,2,3,3,2,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,0,0,0,1,"fulltime","3500_5000","married",3,2,NA,32,74,1,1,1,1,2,1,1,2,2,2,14,9,3,3,3,3,3,14,3
"245",245,245,1570,0,57,5,"50733","nw",1,"hauptschule","rented_flat"," ",0,5,5,5,0,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,1,0,0,5,5,0,0,0,0,0,1,0,0,3,1,5,0,5,5,1,1,0,0,0,0,1,"unemployed","below_1000","partnership",2,1,NA,850,393,1,2,2,1,1,1,2,1,2,10,84,50,18,65,13,21,27,29,28
"246",246,246,620,1,58,5,"30625","ni",1,"university","own_house"," ",5,5,5,4,4,5,4,3,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,5,5,5,5,2,2,2,4,4,3,3,4,4,2,4,4,3,2,5,3,5,5,6,4,0,1,0,0,1,"housewife_man","1000_1500","divorced_widowed",4,3,NA,1451,183,1,1,1,2,1,1,1,1,1,11,41,21,16,21,5,9,10,9,32
"247",247,247,461,0,20,2,"31174","ni",1,"abitur","rented_flat"," ",4,5,5,4,4,4,4,4,5,5,4,3,3,5,4,4,5,5,4,5,5,5,5,4,4,1,2,5,4,4,4,1,2,3,3,4,3,5,4,4,1,5,5,5,3,5,3,4,5,3,4,1,1,0,0,1,"fulltime","1500_2000","single",3,2,NA,1404,92,1,2,1,2,2,2,2,1,2,24,29,8,6,8,5,7,4,5,8
"248",248,248,706,0,44,4,"31084","ni",1,"hauptschule","rented_house"," ",0,5,5,0,0,4,2,1,3,3,5,2,4,3,3,3,4,5,3,3,3,4,5,3,3,0,0,2,3,2,5,2,4,4,5,2,1,2,3,2,4,2,1,2,3,4,2,2,3,1,1,0,0,0,0,1,"unemployed","2500_3500","married",4,1,NA,1107,140,2,3,1,3,1,3,3,3,3,27,26,9,5,4,8,4,9,6,4
"249",249,249,394,0,20,2,"65936","he",1,"abitur","own_house"," ",5,4,3,5,5,5,4,4,5,5,5,4,5,3,5,5,5,5,4,4,5,5,5,4,4,1,0,3,5,4,4,4,4,4,4,5,5,4,5,4,5,3,4,5,4,4,4,5,4,5,5,1,1,0,0,1,"fulltime","2500_3500","partnership",3,2,NA,18,135,2,1,1,1,2,1,2,2,1,18,14,8,26,10,9,29,8,8,12
"250",250,250,766,1,62,6,"10823","be",1,"fachabitur","rented_flat"," ",4,5,4,4,0,0,3,2,2,4,5,2,4,5,5,5,4,5,5,5,5,4,5,2,4,0,0,4,3,4,4,3,3,3,3,3,0,3,4,4,3,5,4,3,2,4,0,0,5,3,4,0,1,0,0,1,"fulltime","5000_above","partnership",2,1,NA,325,159,3,3,3,3,1,1,3,3,2,25,41,16,12,12,15,10,9,10,10
"251",251,251,775,1,31,3,"18546","mv",0,"hauptschule","rented_house"," ",4,5,5,5,5,5,2,2,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,0,0,4,5,5,5,4,5,4,4,4,5,4,4,5,4,5,4,4,4,4,4,5,5,7,6,0,0,1,0,0,"fulltime","1000_1500","married",3,2,NA,710,106,1,1,2,1,2,2,1,1,2,20,31,9,8,10,14,5,4,8,4
"252",252,252,1101,1,49,4,"55124","rp",1,"realschule","rented_house"," ",5,5,5,5,4,5,3,3,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,4,5,1,1,2,2,1,2,5,4,4,2,2,5,4,2,5,4,5,5,6,5,0,0,0,0,1,"fulltime","3500_5000","married",2,1,NA,144,487,2,2,2,1,1,2,2,1,2,24,40,222,21,23,59,14,12,15,10
"253",253,253,531,0,52,5,"66111","sl",1,"university","rented_flat"," ",4,5,5,3,2,5,3,3,2,3,5,2,4,5,2,3,5,5,5,5,2,3,5,2,5,0,2,2,3,5,5,4,3,4,2,5,1,3,4,3,2,3,3,1,1,5,3,4,5,1,5,0,0,0,0,1,"fulltime","2500_3500","divorced_widowed",1,NA,NA,25,159,3,2,1,1,1,1,1,2,2,25,28,19,17,18,10,11,7,12,9
"254",254,254,1060,1,32,3,"19055","mv",1,"abitur","rented_flat"," ",5,5,5,4,3,5,3,2,4,4,5,5,4,5,4,5,5,5,4,4,5,5,5,4,4,0,0,5,4,3,4,3,3,4,2,3,1,2,4,3,3,4,4,3,1,5,1,5,5,5,2,0,0,0,0,1,"housewife_man","2500_3500","married",3,2,NA,177,159,2,3,1,3,1,3,3,3,3,27,30,17,12,13,12,10,14,10,13
"255",255,255,714,1,60,6,"17258","mv",1,"polyt_oberschule","own_house"," ",3,5,4,3,4,4,1,2,3,4,5,4,4,4,4,3,5,5,3,3,3,4,5,2,3,0,0,4,3,3,3,0,4,3,5,2,3,3,0,0,4,0,3,1,3,5,3,0,4,5,4,0,0,0,0,1,"retired","2500_3500","married",3,1,NA,335,252,3,3,3,3,1,3,3,1,2,5,38,14,29,26,9,23,27,24,13
"256",256,256,3684,0,67,6,"33605","nw",1,"hauptschule","rented_flat"," ",5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,3,5,3,5,5,3,3,3,2,1,5,2,5,5,6,4,0,0,0,0,1,"retired","2500_3500","partnership",2,1,NA,562,211,1,3,3,3,1,3,3,1,3,22,33,23,7,19,21,23,16,17,16
"257",257,257,995,1,55,5,"03099","bb",1,"polyt_oberschule","own_house"," ",5,5,5,4,4,5,4,3,5,4,5,4,5,5,5,5,4,5,5,5,5,4,5,4,5,0,3,5,4,5,5,4,3,5,5,5,3,3,4,3,3,4,4,4,5,5,5,5,5,7,2,0,0,0,0,1,"parttime","1500_2000","married",2,1,NA,886,345,1,2,2,2,1,1,1,1,1,16,66,22,31,48,35,25,22,35,17
